Date ,ID,Microplastic,Area,Total Area,Adjusted Area
,,1245,0.312,,
,,1254,0.312,,
,,1261,0.312,,
,,1344,0.312,,
,,1350,0.312,,
,,1355,0.312,,
,,1404,0.312,,
,,1451,0.312,,
,,36,0.416,,
,,71,0.416,,
,,190,0.416,,
,,219,0.416,,
,,220,0.416,,
,,222,0.416,,
,,302,0.416,,
,,314,0.416,,
,,320,0.416,,
,,399,0.416,,
,,408,0.416,,
,,411,0.416,,
,,416,0.416,,
,,441,0.416,,
,,597,0.416,,
,,630,0.416,,
,,654,0.416,,
,,678,0.416,,
,,796,0.416,,
,,808,0.416,,
,,828,0.416,,
,,884,0.416,,
,,951,0.416,,
,,1049,0.416,,
,,1143,0.416,,
,,1148,0.416,,
,,1160,0.416,,
,,1180,0.416,,
,,1219,0.416,,
,,1237,0.416,,
,,1262,0.416,,
,,1353,0.416,,
,,1379,0.416,,
,,55,0.52,,
,,92,0.52,,
,,97,0.52,,
,,213,0.52,,
,,251,0.52,,
,,372,0.52,,
,,377,0.52,,
,,422,0.52,,
,,478,0.52,,
,,518,0.52,,
,,551,0.52,,
,,577,0.52,,
,,594,0.52,,
,,600,0.52,,
,,626,0.52,,
,,634,0.52,,
,,681,0.52,,
,,690,0.52,,
,,720,0.52,,
,,878,0.52,,
,,901,0.52,,
,,908,0.52,,
,,969,0.52,,
,,991,0.52,,
,,1016,0.52,,
,,1056,0.52,,
,,1083,0.52,,
,,1159,0.52,,
,,1175,0.52,,
,,1235,0.52,,
,,1317,0.52,,
,,1332,0.52,,
,,1340,0.52,,
,,35,0.624,,
,,337,0.624,,
,,374,0.624,,
,,386,0.624,,
,,425,0.624,,
,,534,0.624,,
,,588,0.624,,
,,687,0.624,,
,,834,0.624,,
,,868,0.624,,
,,953,0.624,,
,,1150,0.624,,
,,1200,0.624,,
,,1227,0.624,,
,,1315,0.624,,
,,1335,0.624,,
,,34,0.728,,
,,37,0.728,,
,,137,0.728,,
,,437,0.728,,
,,439,0.728,,
,,455,0.728,,
,,458,0.728,,
,,521,0.728,,
,,572,0.728,,
,,579,0.728,,
,,761,0.728,,
,,862,0.728,,
,,875,0.728,,
,,918,0.728,,
,,922,0.728,,
,,1020,0.728,,
,,1105,0.728,,
,,1116,0.728,,
,,1368,0.728,,
,,22,0.832,,
,,66,0.832,,
,,72,0.832,,
,,246,0.832,,
,,746,0.832,,
,,944,0.832,,
,,1132,0.832,,
,,1134,0.832,,
,,1223,0.832,,
,,1319,0.832,,
,,1359,0.832,,
,,3,0.937,,
,,230,0.937,,
,,401,0.937,,
,,536,0.937,,
,,570,0.937,,
,,644,0.937,,
,,696,0.937,,
,,732,0.937,,
,,801,0.937,,
,,877,0.937,,
,,1100,0.937,,
,,1145,0.937,,
,,1151,0.937,,
,,1158,0.937,,
,,1239,0.937,,
,,1445,0.937,,
,,1450,0.937,,
,,85,1.041,,
,,269,1.041,,
,,342,1.041,,
,,373,1.041,,
,,433,1.041,,
,,502,1.041,,
,,564,1.041,,
,,605,1.041,,
,,633,1.041,,
,,651,1.041,,
,,680,1.041,,
,,704,1.041,,
,,745,1.041,,
,,835,1.041,,
,,1042,1.041,,
,,1051,1.041,,
,,1104,1.041,,
,,1149,1.041,,
,,1258,1.041,,
,,1334,1.041,,
,,1422,1.041,,
,,324,1.145,,
,,520,1.145,,
,,532,1.145,,
,,652,1.145,,
,,736,1.145,,
,,748,1.145,,
,,760,1.145,,
,,819,1.145,,
,,890,1.145,,
,,1156,1.145,,
,,1314,1.145,,
,,44,1.249,,
,,271,1.249,,
,,370,1.249,,
,,486,1.249,,
,,599,1.249,,
,,718,1.249,,
,,879,1.249,,
,,919,1.249,,
,,1385,1.249,,
,,68,1.353,,
,,225,1.353,,
,,481,1.353,,
,,506,1.353,,
,,628,1.353,,
,,765,1.353,,
,,831,1.353,,
,,1103,1.353,,
,,1222,1.353,,
,,1233,1.353,,
,,1260,1.353,,
,,239,1.457,,
,,283,1.457,,
,,743,1.457,,
,,852,1.457,,
,,854,1.457,,
,,1117,1.457,,
,,1399,1.457,,
,,2,1.561,,
,,16,1.561,,
,,247,1.561,,
,,538,1.561,,
,,581,1.561,,
,,723,1.561,,
,,899,1.561,,
,,911,1.561,,
,,934,1.561,,
,,939,1.561,,
,,1311,1.561,,
,,1431,1.561,,
,,19,1.665,,
,,156,1.665,,
,,417,1.665,,
,,440,1.665,,
,,498,1.665,,
,,686,1.665,,
,,769,1.665,,
,,1090,1.665,,
,,1228,1.665,,
,,1322,1.665,,
,,1343,1.665,,
,,1439,1.665,,
,,144,1.769,,
,,435,1.769,,
,,584,1.769,,
,,938,1.769,,
,,1000,1.769,,
,,1035,1.769,,
,,1386,1.769,,
,,1391,1.769,,
,,33,1.873,,
,,656,1.873,,
,,698,1.873,,
,,752,1.873,,
,,1057,1.873,,
,,1085,1.873,,
,,1387,1.873,,
,,181,1.977,,
,,426,1.977,,
,,959,1.977,,
,,1029,1.977,,
,,1062,1.977,,
,,1099,1.977,,
,,123,2.081,,
,,332,2.081,,
,,428,2.081,,
,,541,2.081,,
,,648,2.081,,
,,782,2.081,,
,,1038,2.081,,
,,1098,2.081,,
,,1112,2.081,,
,,1360,2.081,,
,,1373,2.081,,
,,431,2.185,,
,,725,2.185,,
,,881,2.185,,
,,893,2.185,,
,,1198,2.185,,
,,41,2.289,,
,,226,2.289,,
,,236,2.289,,
,,740,2.289,,
,,1043,2.289,,
,,1069,2.289,,
,,1371,2.289,,
,,135,2.393,,
,,347,2.393,,
,,776,2.393,,
,,1133,2.393,,
,,1164,2.393,,
,,1376,2.393,,
,,7,2.497,,
,,80,2.497,,
,,127,2.497,,
,,591,2.497,,
,,714,2.497,,
,,1110,2.497,,
,,142,2.601,,
,,466,2.601,,
,,640,2.601,,
,,1093,2.601,,
,,1428,2.601,,
,,69,2.706,,
,,267,2.706,,
,,472,2.706,,
,,515,2.706,,
,,721,2.706,,
,,763,2.706,,
,,787,2.706,,
,,840,2.706,,
,,1202,2.706,,
,,252,2.81,,
,,535,2.81,,
,,627,2.81,,
,,684,2.81,,
,,28,2.914,,
,,262,2.914,,
,,544,2.914,,
,,711,2.914,,
,,729,2.914,,
,,757,2.914,,
,,1050,2.914,,
,,907,3.018,,
,,1412,3.018,,
,,379,3.122,,
,,610,3.122,,
,,1108,3.122,,
,,264,3.226,,
,,497,3.226,,
,,537,3.226,,
,,643,3.226,,
,,256,3.33,,
,,598,3.33,,
,,844,3.33,,
,,1241,3.33,,
,,229,3.434,,
,,265,3.434,,
,,512,3.434,,
,,772,3.434,,
,,1234,3.434,,
,,1370,3.434,,
,,434,3.538,,
,,575,3.538,,
,,631,3.538,,
,,1169,3.538,,
,,385,3.642,,
,,525,3.642,,
,,606,3.642,,
,,812,3.642,,
,,1196,3.642,,
,,1454,3.642,,
,,231,3.746,,
,,263,3.746,,
,,462,3.746,,
,,496,3.746,,
,,548,3.746,,
,,839,3.746,,
,,133,3.85,,
,,387,3.85,,
,,421,3.85,,
,,1106,3.954,,
,,1230,3.954,,
,,1417,3.954,,
,,23,4.058,,
,,58,4.058,,
,,488,4.058,,
,,624,4.058,,
,,900,4.058,,
,,1238,4.058,,
,,1308,4.058,,
,,108,4.162,,
,,253,4.162,,
,,1320,4.162,,
,,115,4.266,,
,,880,4.266,,
,,1369,4.266,,
,,86,4.37,,
,,559,4.37,,
,,671,4.37,,
,,14,4.475,,
,,394,4.475,,
,,963,4.475,,
,,125,4.579,,
,,473,4.579,,
,,480,4.579,,
,,1153,4.579,,
,,1421,4.579,,
,,530,4.683,,
,,48,4.787,,
,,1244,4.787,,
,,1416,4.787,,
,,74,4.891,,
,,493,4.891,,
,,841,4.891,,
,,754,4.995,,
,,917,4.995,,
,,948,4.995,,
,,1326,4.995,,
,,709,5.099,,
,,1231,5.099,,
,,483,5.203,,
,,522,5.203,,
,,1354,5.203,,
,,608,5.307,,
,,783,5.307,,
,,645,5.411,,
,,650,5.411,,
,,717,5.411,,
,,866,5.411,,
,,52,5.515,,
,,75,5.515,,
,,1152,5.515,,
,,1415,5.515,,
,,616,5.619,,
,,915,5.619,,
,,1115,5.619,,
,,1357,5.619,,
,,1388,5.619,,
,,949,5.827,,
,,971,5.827,,
,,448,5.931,,
,,547,5.931,,
,,1189,5.931,,
,,1420,5.931,,
,,102,6.035,,
,,250,6.035,,
,,1337,6.035,,
,,1409,6.035,,
,,278,6.139,,
,,954,6.139,,
,,170,6.243,,
,,1457,6.243,,
,,389,6.348,,
,,1177,6.348,,
,,27,6.452,,
,,93,6.452,,
,,800,6.452,,
,,1197,6.452,,
,,902,6.556,,
,,128,6.66,,
,,555,6.66,,
,,450,6.764,,
,,503,6.764,,
,,905,6.764,,
,,925,6.764,,
,,658,6.868,,
,,10,6.972,,
,,1120,6.972,,
,7,1,7.076,84887.311,84337.27
,,924,7.076,,
,,950,7.076,,
,,1236,7.076,,
,,474,7.284,,
,,1401,7.284,,
,,134,7.388,,
,,619,7.388,,
,,215,7.596,,
,,1220,7.7,,
,,1424,7.7,,
,,30,7.804,,
,,258,7.804,,
,,485,7.804,,
,,1402,7.804,,
,,973,7.908,,
,,50,8.012,,
,,1267,8.117,,
,,468,8.221,,
,,826,8.221,,
,,662,8.325,,
,,5,8.533,,
,,140,8.533,,
,,214,8.533,,
,,273,8.533,,
,,1221,8.533,,
,,224,8.637,,
,,57,8.741,,
,,585,8.741,,
,,592,8.845,,
,,912,9.053,,
,,1045,9.261,,
,,461,9.365,,
,,1331,9.469,,
,,444,9.781,,
,,1217,9.886,,
,,1460,9.886,,
,,259,9.99,,
,,694,9.99,,
,,1192,10.198,,
,,1249,10.198,,
,,1434,10.198,,
,,888,10.302,,
,,197,10.406,,
,,1073,10.51,,
,,42,10.614,,
,,476,10.614,,
,,727,10.614,,
,,1183,10.614,,
,,501,10.718,,
,,576,10.822,,
,,897,10.822,,
,,703,10.926,,
,,1002,11.134,,
,,1096,11.134,,
,,682,11.238,,
,,1304,11.238,,
,,454,11.446,,
,,557,11.446,,
,,1128,11.446,,
,,1119,11.655,,
,,566,11.863,,
,,12,11.967,,
,,1076,11.967,,
,,1074,12.175,,
,,1365,12.175,,
,,132,12.279,,
,,517,12.383,,
,,661,12.383,,
,,1079,12.383,,
,,147,12.487,,
,,1055,12.487,,
,,601,13.007,,
,,679,13.111,,
,,1210,13.111,,
,,926,13.319,,
,,602,13.424,,
,,842,13.632,,
,,1130,14.048,,
,,1070,14.256,,
,,1430,14.256,,
,,716,14.36,,
,,1377,14.568,,
,,554,14.672,,
,,1092,14.776,,
,,1378,14.776,,
,,997,15.088,,
,,1041,15.401,,
,,268,15.817,,
,,699,15.817,,
,,240,15.921,,
,,484,15.921,,
,,1102,15.921,,
,,1118,15.921,,
,,1176,16.129,,
,,573,16.233,,
,,667,16.233,,
,,1053,16.337,,
,,887,16.441,,
,,449,16.857,,
,,56,17.17,,
,,689,17.378,,
,,1109,17.482,,
,,257,17.586,,
,,670,17.794,,
,,807,18.106,,
,,1358,18.106,,
,,613,18.21,,
,,1411,18.21,,
,,21,18.522,,
,,1324,18.939,,
,,1243,19.043,,
,,797,19.147,,
,,1195,19.147,,
,,87,19.251,,
,,475,19.563,,
,,158,19.667,,
,,49,19.875,,
,,1309,20.499,,
,,607,20.916,,
,,243,21.02,,
,,629,21.124,,
,,507,21.54,,
,,589,21.54,,
,,523,21.748,,
,,639,22.06,,
,,126,22.164,,
,,1123,22.268,,
,,13,22.373,,
,,1436,22.477,,
,,858,22.789,,
,,1302,23.101,,
,,1122,23.413,,
,,20,24.35,,
,,120,24.558,,
,,1242,24.558,,
,,62,24.766,,
,,95,24.766,,
,,731,24.87,,
,,646,24.974,,
,,657,25.078,,
,,549,25.286,,
,,1048,25.286,,
,,459,25.598,,
,,935,25.806,,
,,1206,25.806,,
,,1418,25.806,,
,,505,26.119,,
,,611,26.223,,
,,1352,26.639,,
,,956,26.743,,
,,160,27.784,,
,,465,27.784,,
,,1289,28.512,,
,,453,28.928,,
,,63,29.136,,
,,452,29.344,,
,,26,29.761,,
,,753,29.761,,
,,737,29.969,,
,,15,30.073,,
,,1323,30.281,,
,,70,30.593,,
,,112,31.634,,
,,604,31.946,,
,,664,31.946,,
,,1271,32.05,,
,,1068,32.778,,
,,1001,33.091,,
,,663,33.403,,
,,1403,33.507,,
,,175,33.611,,
,,744,33.819,,
,,531,34.027,,
,,843,34.235,,
,,1088,34.235,,
,,987,34.443,,
,,778,34.547,,
,,569,34.651,,
,,67,35.38,,
,,669,35.588,,
,,8,35.692,,
,,848,35.796,,
,,849,35.796,,
,,1124,35.9,,
,,1179,36.108,,
,,615,37.045,,
,,1011,37.045,,
,,719,37.461,,
,,542,37.565,,
,,47,37.877,,
,,447,37.877,,
,,1207,37.877,,
,,289,38.502,,
,,713,38.71,,
,,53,39.854,,
,,244,40.166,,
,,621,40.166,,
,,638,40.687,,
,,560,41.103,,
,,76,41.519,,
,,355,41.727,,
,,1162,42.144,,
,,88,42.456,,
,,457,42.56,,
,,632,42.664,,
,,272,43.392,,
,,1126,43.913,,
,,1449,44.225,,
,,494,44.537,,
,,1443,45.369,,
,,1140,45.682,,
,,514,46.098,,
,,692,46.306,,
,,1127,46.306,,
,,467,46.826,,
,,511,47.034,,
,,1433,47.451,,
,,288,47.555,,
,,989,47.659,,
,,205,48.283,,
,,874,48.803,,
,,750,49.324,,
,,510,49.532,,
